Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,4.08,0.96,1.7,2.8,3.85,3.48,2.78,2.0,0.11,-2.58,2.7,1.56,2.29,2.12,2.52,2.95,1.82,2.46,2.97,2.58,-2.16,6.06,2.51,2.89,2.8
Canada,5.14,1.88,3.0,1.81,3.09,3.21,2.64,2.05,1.0,-2.92,3.09,3.14,1.76,2.33,2.87,0.65,1.04,3.03,2.74,1.91,-5.04,5.95,4.19,1.53,1.53
United Kingdom,4.34,2.57,1.8,3.15,2.46,2.73,2.38,2.62,-0.25,-4.62,2.23,1.14,1.51,1.8,3.19,2.22,1.92,2.66,1.41,1.62,-10.3,8.58,4.84,0.4,1.1
Germany,2.88,1.64,-0.23,-0.53,1.16,0.89,3.86,2.89,0.91,-5.55,4.15,3.76,0.47,0.39,2.17,1.65,2.29,2.72,1.12,0.99,-4.1,3.67,1.37,-0.27,-0.24
France,4.14,1.9,1.07,0.97,2.87,1.89,2.71,2.53,0.38,-2.82,2.0,2.44,0.18,0.78,1.0,1.07,0.86,2.08,1.65,2.03,-7.44,6.88,2.57,0.94,1.17
Italy,3.88,2.01,0.27,0.07,1.47,0.76,1.8,1.46,-1.02,-5.31,1.53,0.7,-3.13,-1.82,-0.0,0.89,1.24,1.6,0.83,0.43,-8.87,8.93,4.82,0.72,0.73
Spain,5.2,3.92,2.76,2.94,3.11,3.55,4.04,3.53,0.77,-3.77,0.09,-0.64,-2.87,-1.43,1.52,4.06,2.92,2.9,2.4,1.96,-10.94,6.68,6.18,2.68,3.15
Netherlands,4.22,2.32,0.25,0.1,2.02,2.03,3.54,3.89,2.12,-3.67,1.32,1.77,-0.98,-0.03,1.61,2.12,2.42,2.78,2.26,2.3,-3.87,6.28,5.01,0.07,0.98
Sweden,4.63,1.36,2.28,1.88,4.18,2.79,4.68,3.22,-0.92,-4.26,5.75,3.16,-0.41,1.14,2.3,4.41,2.35,1.83,1.9,2.55,-2.01,5.94,1.46,-0.11,0.97
Switzerland,3.96,1.58,-0.07,-0.03,2.7,2.75,4.07,3.92,2.81,-2.3,3.24,1.81,1.18,1.79,2.35,1.64,2.07,1.36,2.86,1.14,-2.14,5.56,3.04,0.68,1.3
Australia,3.92,2.03,3.98,3.09,4.22,3.15,2.76,3.77,3.59,1.89,2.22,2.41,3.92,2.6,2.6,2.19,2.76,2.28,2.88,2.17,-0.12,2.11,4.24,3.44,1.43
Japan,2.76,0.39,0.04,1.54,2.19,1.8,1.37,1.48,-1.22,-5.69,4.1,0.02,1.37,2.01,0.3,1.56,0.75,1.68,0.64,-0.4,-4.17,2.7,0.94,1.48,0.08
"Korea, Rep.",9.06,4.85,7.73,3.15,5.2,4.31,5.26,5.8,3.01,0.79,6.8,3.69,2.4,3.16,3.2,2.81,2.95,3.16,2.91,2.24,-0.71,4.3,2.61,1.36,1.36
Singapore,9.04,-1.07,3.92,4.55,9.94,7.37,9.01,9.02,1.86,0.13,14.52,6.21,4.44,4.82,3.94,2.98,3.75,4.48,3.45,1.31,-3.81,9.76,4.11,1.82,4.39
Norway,3.32,2.07,1.38,0.94,4.01,2.69,2.46,2.91,0.48,-1.94,0.79,1.11,2.72,1.02,2.05,1.86,1.16,2.46,0.83,1.12,-1.28,3.91,3.25,0.07,2.1
China,8.59,8.31,9.24,10.12,10.13,11.46,12.67,14.15,9.67,9.4,10.6,9.46,7.86,7.78,7.46,6.98,6.78,6.89,6.76,6.07,2.34,8.57,3.13,5.41,4.98
India,3.84,4.82,3.8,7.86,7.92,7.92,8.06,7.66,3.09,7.86,8.5,5.24,5.46,6.39,7.41,8.0,8.26,6.8,6.45,3.87,-5.78,9.69,7.61,9.19,6.48
Indonesia,4.92,3.64,4.5,4.78,5.03,5.69,5.5,6.35,6.01,4.63,6.22,6.17,6.03,5.56,5.01,4.88,5.03,5.07,5.17,5.02,-2.07,3.7,5.31,5.05,5.03
Malaysia,8.86,0.52,5.39,5.79,6.78,5.33,5.58,6.3,4.83,-1.51,7.42,5.29,5.47,4.69,6.01,5.09,4.45,5.81,4.84,4.41,-5.46,3.32,8.86,3.56,5.11
Thailand,4.46,3.44,6.15,7.19,6.29,4.19,4.97,5.44,1.73,-0.69,7.51,0.84,7.24,2.69,0.98,3.13,3.44,4.18,4.22,2.11,-6.05,1.55,2.58,2.02,2.53
Philippines,4.38,3.05,3.72,5.09,6.57,4.94,5.32,6.52,4.34,1.45,7.33,3.86,6.9,6.75,6.35,6.35,7.15,6.93,6.34,6.12,-9.52,5.71,7.58,5.52,5.69
Brazil,4.39,1.39,3.05,1.14,5.76,3.2,3.96,6.07,5.09,-0.13,7.53,3.97,1.92,3.0,0.5,-3.55,-3.28,1.32,1.78,1.22,-3.28,4.76,3.02,3.24,3.4
Mexico,5.03,-0.45,-0.24,1.19,3.57,2.11,4.81,2.08,0.94,-6.3,4.97,3.44,3.55,0.85,2.5,2.7,1.77,1.87,1.97,-0.39,-8.35,6.05,3.71,3.3,1.45
Chile,4.97,3.15,3.2,4.72,6.67,5.84,6.05,5.17,3.79,-1.12,5.85,6.22,6.16,3.31,1.79,2.15,1.75,1.36,3.99,0.63,-6.14,11.31,2.15,0.52,2.64
Colombia,2.92,1.68,2.5,3.92,5.33,4.83,6.72,6.74,3.28,1.14,4.49,6.95,3.91,5.13,4.5,2.96,2.09,1.36,2.56,3.19,-7.19,10.8,7.33,0.71,1.74
South Africa,4.2,2.7,3.7,2.95,4.55,5.28,5.6,5.36,3.19,-1.54,3.04,3.17,2.4,2.49,1.41,1.32,0.66,1.16,1.56,0.26,-6.17,4.96,1.91,0.7,0.58
Turkiye,6.93,-5.75,6.45,5.76,9.8,8.99,6.95,5.04,0.82,-4.82,8.43,11.2,4.79,8.49,4.94,6.08,3.32,7.5,3.01,0.82,1.86,11.44,5.53,5.11,3.18
Poland,4.66,1.23,1.9,3.52,5.09,3.26,6.2,6.76,4.38,2.62,3.17,5.26,1.51,0.68,3.92,4.43,3.03,5.15,6.25,4.58,-2.04,6.93,5.26,0.25,2.92
Hungary,4.41,4.06,4.73,3.94,4.96,4.3,3.93,0.33,0.99,-6.74,1.07,1.92,-1.34,2.03,4.33,3.66,2.44,4.12,5.61,5.08,-4.34,7.22,4.27,-0.84,0.51
Romania,2.46,5.22,5.7,2.34,10.43,4.67,8.03,7.23,9.31,-5.52,-3.91,4.5,1.9,0.28,4.12,3.16,2.86,8.2,6.12,3.92,-3.67,5.55,3.97,2.4,0.81
Argentina,-0.79,-4.41,-10.89,8.84,9.03,8.85,8.05,9.01,4.06,-5.92,10.13,6.0,-1.03,2.41,-2.51,2.73,-2.08,2.82,-2.62,-2.0,-9.9,10.44,5.27,-1.61,-1.72
Pakistan,4.26,3.65,2.59,5.4,7.83,7.28,6.05,4.44,2.12,3.47,1.5,2.68,3.03,4.37,4.12,4.22,6.57,4.43,6.15,2.5,-1.27,6.51,4.78,-0.04,3.23
"Egypt, Arab Rep.",6.37,3.54,2.39,3.19,4.09,4.47,6.84,7.09,7.16,4.67,5.15,1.76,2.23,2.19,2.92,4.37,4.35,4.18,5.33,5.55,3.55,3.29,6.59,3.76,2.4
Ghana,3.7,4.0,4.5,5.2,5.6,5.9,6.4,4.35,9.15,4.84,7.9,14.05,9.29,7.31,2.86,2.12,3.37,8.13,6.2,6.51,0.51,5.08,3.8,3.14,5.68
Nigeria,5.02,5.92,15.33,7.35,9.25,6.44,6.06,6.59,6.76,8.04,8.01,5.31,4.23,6.67,6.31,2.65,-1.62,0.81,1.92,2.21,-1.79,3.65,3.25,2.86,3.43
Tunisia,4.71,3.8,1.32,4.7,6.24,3.49,5.24,6.71,4.24,3.04,2.97,-2.05,4.22,2.43,3.09,0.97,1.12,2.24,2.62,1.59,-9.01,4.74,2.67,0.04,1.35
Ukraine,5.9,8.8,5.34,9.52,11.8,3.07,7.57,8.22,2.24,-15.14,4.09,5.45,0.15,0.05,-10.08,-9.77,2.44,2.36,3.49,3.2,-3.75,3.45,-28.76,5.53,2.91
Sri Lanka,6.0,-1.55,3.96,5.94,5.45,6.24,7.67,6.8,5.95,3.54,8.02,8.67,8.63,4.05,6.38,4.21,5.05,6.46,2.31,-0.22,-4.62,4.21,-7.35,-2.33,5.01
