Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,33.27,52.44,53.86,56.25,56.66,56.54,55.47,55.66,63.82,75.84,84.96,89.55,93.65,95.32,95.45,95.96,97.93,97.02,98.45,100.06,124.51,118.4,112.82,114.76,114.76
Canada,58.74,57.46,54.15,51.27,46.8,46.06,43.29,39.16,45.32,53.19,53.15,54.12,55.73,53.2,51.48,55.99,56.02,54.46,53.15,53.36,74.55,68.78,59.94,62.47,64.97
United Kingdom,87.6,84.36,86.4,86.69,90.51,92.16,92.16,93.8,105.41,123.73,131.09,143.76,147.05,141.64,150.59,147.95,156.6,161.27,158.16,160.32,196.64,186.79,141.24,138.64,138.64
Germany,59.7,58.8,60.0,63.9,65.8,67.9,67.6,64.9,66.7,73.5,82.4,79.8,81.0,78.7,75.7,71.6,68.9,64.7,61.3,59.2,68.7,69.0,66.1,63.6,63.6
France,58.9,58.0,60.3,64.4,65.9,67.4,64.6,64.4,68.8,83.0,85.3,87.8,90.6,93.4,94.9,95.6,98.0,98.3,98.1,97.6,115.0,112.9,111.8,110.6,110.6
Italy,105.1,105.4,102.4,101.3,100.1,102.6,103.3,99.8,102.4,112.5,115.4,116.5,123.4,129.0,131.8,131.5,134.8,134.1,134.4,134.3,154.9,149.9,144.4,137.3,137.3
Spain,56.44,52.0,50.15,45.48,43.44,40.23,35.75,31.73,35.7,48.2,49.96,57.79,77.45,91.87,104.93,104.51,105.97,106.58,107.2,111.29,138.96,132.55,109.22,107.26,107.26
Netherlands,50.7,47.5,47.4,48.0,49.0,48.9,44.3,42.7,54.8,56.8,59.0,61.7,66.4,67.7,67.9,64.6,61.9,56.9,52.4,48.6,54.5,52.1,50.1,46.3,46.3
Sweden,53.9,54.7,52.5,51.7,50.3,50.4,45.0,40.2,38.8,42.6,39.4,37.7,37.8,40.4,45.2,43.9,42.3,40.6,38.8,35.1,39.9,36.7,32.9,30.6,30.6
Switzerland,25.78,24.7,29.74,28.8,29.37,29.4,25.77,23.66,23.08,21.7,20.99,21.14,21.34,20.22,20.61,20.44,19.38,20.28,18.68,18.95,20.85,19.94,17.59,19.88,19.88
Australia,29.52,27.69,25.88,25.07,22.86,22.41,21.44,20.1,18.18,23.87,28.66,30.1,39.44,37.56,41.72,46.48,54.68,53.32,54.5,60.23,69.32,70.01,58.05,57.2,57.2
Japan,134.1,142.3,149.3,157.5,165.3,175.3,175.4,175.4,183.0,201.0,207.9,219.1,229.0,232.5,236.1,231.6,235.6,235.0,237.1,238.0,254.1,256.9,260.1,264.0,264.0
