Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Canada,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United Kingdom,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3
Germany,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
France,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3
Italy,3,3,3,3,3,3,4,4,4,4,4,4,8,8,8,8,8,8,8,8,9,9,9,9,9
Spain,2,2,2,2,2,2,2,2,2,2,3,3,10,10,10,10,10,10,10,10,6,6,6,6,6
Netherlands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sweden,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Switzerland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Australia,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Japan,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5
"Korea, Rep.",8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,3,3,3,3,3,3,3,3,3
Singapore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Norway,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
India,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Indonesia,16,16,16,16,16,16,16,16,16,16,16,16,11,11,11,11,11,10,10,10,9,9,9,9,9
Malaysia,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Thailand,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Philippines,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,8,8,8,8,8
Brazil,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,11,11,11,11,11,13,13,13,13,13
Mexico,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9
Chile,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,5,5,5,6,6
Colombia,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,11,11
South Africa,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,11,11,11,13,13,13,13,13
Turkiye,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,14,14,14,14,14,14,14
Poland,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Hungary,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,10,10,10,10,9,9,9,9,9
Romania,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,10,10
Argentina,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,19,19,18,18
Pakistan,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17
"Egypt, Arab Rep.",13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15
Ghana,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,15,15,15,17,17
Nigeria,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,16,16,16
Tunisia,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,16,16,16,18,18
Ukraine,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,19,19,19,19,19,19,19,19,19,19
Sri Lanka,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,16,16,20,20,20
