Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,128.4,130.08,157.76,184.02,190.46,188.26,221.09,277.55,294.05,404.1,488.93,537.27,574.27,448.51,434.42,383.73,405.94,451.29,449.91,516.7,628.37,716.15,706.64,773.43,910.04
Canada,32.43,34.25,37.19,36.27,34.48,33.02,35.06,41.08,43.87,54.36,57.15,65.82,68.55,71.94,74.7,79.75,82.72,86.68,83.93,85.3,90.43,106.62,106.95,117.55,119.78
United Kingdom,50.94,47.42,54.96,56.35,62.14,59.14,63.82,77.72,64.79,79.45,98.03,109.73,117.16,118.75,124.49,148.11,134.93,150.86,172.66,173.57,180.05,194.18,176.41,177.92,174.6
Germany,87.5,82.13,89.14,96.84,97.17,101.68,111.64,135.93,138.56,179.04,215.98,234.1,248.86,198.54,193.48,173.73,184.03,199.98,198.03,224.03,268.41,295.74,293.91,322.7,377.94
France,63.73,58.64,61.7,70.76,77.35,74.36,98.24,115.49,103.31,131.79,165.85,168.49,184.52,145.16,143.98,138.2,145.87,156.32,166.48,189.01,224.24,244.28,242.42,240.79,282.86
Italy,47.2,46.22,55.62,63.26,62.39,65.95,75.77,94.11,105.65,131.5,158.48,169.87,181.67,145.72,142.76,130.59,135.13,151.12,152.36,175.4,210.69,227.48,224.58,247.4,290.55
Spain,35.61,34.24,40.3,26.81,19.76,17.23,19.34,19.03,20.29,28.05,31.87,46.7,50.59,46.34,50.41,53.97,63.04,69.4,70.63,74.73,81.29,92.2,92.91,103.09,107.77
Netherlands,17.69,16.9,18.95,21.6,21.6,20.45,23.9,26.93,28.6,39.28,46.15,50.41,54.82,46.31,43.05,38.21,35.91,38.42,38.43,43.32,53.97,64.47,63.35,69.83,79.13
Sweden,16.5,15.63,19.17,22.17,24.77,24.87,28.02,31.03,29.73,47.26,48.25,50.21,52.25,65.36,62.58,58.1,59.36,62.19,60.57,55.51,58.26,62.05,64.29,60.86,62.57
Switzerland,53.62,51.55,61.28,69.56,74.57,57.58,64.46,75.17,74.15,134.57,270.48,330.59,531.3,536.24,545.79,602.4,678.91,811.03,787.02,854.93,1083.4,1109.82,923.63,863.89,909.37
Australia,18.82,18.66,21.57,33.26,36.93,43.26,55.08,26.91,32.92,41.74,42.27,46.71,49.14,52.84,53.91,45.41,52.48,65.65,53.91,57.99,42.54,57.88,56.7,61.7,60.4
Japan,361.64,401.96,469.62,673.55,844.67,846.9,895.32,973.3,1030.76,1051.65,1104.56,1295.84,1268.09,1266.85,1260.68,1233.1,1216.52,1264.14,1270.47,1322.44,1390.81,1405.75,1227.57,1294.64,1230.67
"Korea, Rep.",96.25,102.88,121.5,155.47,199.2,210.55,239.15,262.53,201.54,270.44,292.14,306.93,327.72,345.69,362.83,366.71,370.15,388.8,403.08,408.82,443.46,463.28,423.37,420.93,418.22
Singapore,81.08,76.6,83.41,97.74,114.16,118.06,138.65,166.16,177.54,192.05,231.26,243.8,265.91,277.8,261.58,251.88,251.06,285.0,292.72,285.48,369.83,425.1,296.63,359.83,383.95
Norway,27.92,23.6,32.4,37.71,44.31,46.99,56.84,60.84,50.95,48.86,53.22,49.4,51.86,58.28,64.8,57.46,60.45,65.92,63.15,66.95,75.26,84.27,72.08,80.46,81.24
China,171.76,220.06,297.74,416.2,622.95,831.41,1080.76,1546.36,1966.04,2452.9,2913.71,3254.67,3387.51,3880.37,3900.04,3405.25,3097.66,3235.68,3168.22,3222.89,3357.24,3427.93,3306.84,3449.54,3456.02
