Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,-3.92,-3.72,-4.17,-4.56,-5.2,-5.75,-5.91,-5.09,-4.72,-2.62,-2.87,-2.92,-2.57,-2.01,-2.1,-2.23,-2.11,-1.87,-2.13,-2.05,-2.78,-3.63,-3.82,-3.35,-4.06
Canada,2.48,2.13,1.65,1.16,2.26,1.87,1.36,0.75,0.2,-2.97,-3.6,-2.77,-3.53,-3.15,-2.32,-3.51,-3.09,-2.8,-2.39,-1.95,-2.01,-0.02,-0.29,-0.63,-0.46
United Kingdom,-1.81,-1.77,-1.97,-1.83,-2.29,-1.98,-3.12,-3.73,-3.89,-3.04,-2.77,-1.63,-3.15,-4.65,-5.01,-4.95,-5.5,-3.5,-3.92,-2.69,-2.96,-0.44,-2.28,-3.51,-2.65
Germany,-1.51,-0.17,1.98,1.53,4.53,4.64,5.84,6.71,5.58,5.87,5.77,6.26,7.19,6.73,7.19,8.1,8.9,8.08,8.44,7.88,6.35,6.93,3.89,5.56,5.67
France,1.18,1.53,1.18,0.87,0.43,-0.01,0.02,-0.33,-0.96,-0.82,-0.83,-1.03,-1.23,-0.6,-0.96,-0.33,-0.54,-0.47,-0.74,0.59,-2.0,0.24,-1.43,-1.04,0.09
Italy,-0.27,0.15,-0.49,-0.77,-0.5,-0.9,-1.45,-1.36,-2.69,-1.77,-3.24,-2.74,-0.22,1.04,1.71,1.23,2.46,2.48,2.57,3.23,3.94,2.12,-1.73,0.14,1.13
Spain,-4.26,-4.33,-3.63,-3.81,-5.42,-7.21,-8.79,-9.37,-8.82,-3.94,-3.58,-2.59,0.13,2.08,1.74,2.04,3.16,2.83,1.86,2.12,0.82,0.77,0.31,2.65,3.07
Netherlands,1.74,2.27,2.32,5.13,6.7,6.04,7.75,5.86,4.07,3.35,6.41,7.02,7.5,7.9,8.55,4.85,7.15,8.05,8.84,6.8,5.72,10.28,6.82,9.26,9.04
Sweden,4.45,6.17,4.66,5.86,5.96,6.02,8.16,8.15,7.93,5.97,5.93,5.51,5.53,4.33,3.25,2.59,1.85,2.07,2.19,5.33,5.8,6.18,3.77,5.75,5.96
Switzerland,10.49,6.67,6.87,10.79,12.49,11.36,12.48,8.32,1.33,5.85,13.03,6.21,8.88,9.61,6.87,8.88,7.28,5.34,5.05,3.51,0.38,7.06,8.73,5.31,5.04
