Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,2.27,2.25,1.55,1.97,2.69,3.14,3.08,2.71,1.93,0.62,1.22,2.06,1.86,1.7,1.74,0.93,0.95,1.79,2.29,1.65,1.33,4.57,7.13,3.6,2.42
Canada,4.37,1.57,1.26,3.25,3.26,3.12,2.57,3.3,4.0,-2.32,2.85,3.24,1.22,1.74,1.94,-0.87,0.72,2.57,1.65,1.55,1.07,7.79,7.91,1.36,3.04
United Kingdom,1.12,1.51,2.12,2.39,2.59,2.94,2.79,2.25,3.43,1.9,1.59,2.2,1.54,2.11,1.32,0.66,1.96,1.86,1.92,2.13,4.97,0.07,5.44,6.89,4.01
Germany,-0.34,1.43,1.5,1.32,1.16,0.53,0.45,1.84,0.95,1.99,0.68,1.23,1.43,2.0,1.9,1.69,1.26,1.47,1.87,2.02,1.76,2.8,6.09,6.14,3.11
France,1.42,1.9,2.06,1.8,1.63,1.96,2.0,2.39,2.3,0.11,1.09,0.85,1.08,0.75,0.57,1.13,0.52,0.59,1.11,1.21,2.98,1.22,3.22,5.3,2.31
Italy,1.76,3.06,3.31,3.17,2.63,2.08,2.22,2.47,2.4,1.77,0.6,1.73,1.7,1.13,0.9,0.78,1.25,0.71,1.07,1.05,1.58,1.28,3.46,5.91,2.11
Spain,3.41,4.16,4.09,4.0,3.91,4.21,4.07,3.56,2.45,0.23,0.29,-0.15,-0.2,0.44,-0.22,0.55,0.37,1.26,1.19,1.43,1.13,2.56,4.71,6.24,2.98
Netherlands,3.27,4.37,3.88,2.29,1.2,1.98,2.58,2.05,2.41,0.44,0.71,0.24,1.33,1.14,0.34,0.89,0.57,1.44,2.53,3.03,2.36,2.75,6.16,7.34,5.2
Sweden,1.57,2.59,1.62,1.85,0.41,0.76,1.75,2.92,3.36,2.36,1.03,1.12,0.95,1.01,1.83,2.25,1.65,2.23,2.62,2.42,1.79,2.74,5.78,6.04,2.79
Switzerland,1.37,0.97,-0.25,1.18,0.3,0.92,2.15,2.38,1.45,0.46,0.31,-0.02,0.06,-0.09,-0.65,-1.27,-0.58,-0.37,0.76,-0.1,-0.7,1.32,3.04,0.9,1.29
Australia,2.55,4.63,2.84,2.99,3.23,3.83,5.12,4.99,4.57,4.95,1.15,6.2,1.81,-0.16,1.41,-0.62,-0.66,3.65,1.87,3.47,1.89,3.08,7.18,6.51,2.63
Japan,-1.34,-1.08,-1.39,-1.61,-1.12,-1.19,-0.86,-0.71,-0.91,-0.57,-1.88,-1.62,-0.76,-0.35,1.69,2.11,0.42,-0.07,-0.0,0.63,0.93,-0.2,0.4,4.07,2.87
"Korea, Rep.",1.02,3.48,3.03,3.45,3.13,1.04,-0.22,2.42,2.83,3.61,2.74,1.28,1.25,1.02,0.91,3.19,1.99,2.22,0.48,-0.84,1.56,2.76,1.28,2.06,
Singapore,3.86,-1.81,-0.9,-1.8,3.96,1.9,1.84,5.92,-1.38,2.95,1.11,1.17,0.5,-0.43,-0.27,3.07,0.52,2.86,3.61,-0.42,-2.39,10.93,14.92,-5.02,3.24
Norway,15.33,1.71,-1.52,2.86,5.85,8.76,8.73,3.08,10.57,-5.12,5.96,6.67,3.35,2.55,0.26,-2.8,-1.6,4.08,6.74,-0.55,-2.52,20.21,28.42,-11.08,-0.2
China,2.1,2.21,0.64,2.64,6.99,3.75,4.02,7.91,7.86,-0.08,6.93,8.02,2.41,2.3,1.09,0.14,1.48,4.15,3.47,1.32,0.53,4.47,1.93,-0.51,-0.71
India,3.64,3.22,3.72,3.87,5.73,5.62,8.4,6.94,9.19,7.04,10.53,8.73,7.93,6.19,3.33,2.28,3.24,3.97,3.88,2.41,4.81,8.35,5.9,2.59,3.2
Indonesia,20.45,14.3,5.9,5.49,8.55,14.33,14.09,11.26,18.15,8.27,15.26,7.47,3.75,4.97,5.44,3.98,2.44,4.29,3.82,1.6,-0.4,6.0,9.57,1.53,0.89
Malaysia,8.86,-1.58,3.13,3.3,6.01,8.86,3.98,4.88,10.39,-5.99,7.27,5.41,1.0,0.17,2.47,1.22,1.66,3.78,0.62,0.07,-0.82,5.68,6.4,-1.87,0.78
Thailand,1.33,1.92,1.69,2.15,3.57,5.09,5.1,2.47,5.13,0.19,4.08,3.74,1.91,1.78,1.44,0.72,2.64,1.9,1.43,1.01,-1.3,1.77,4.66,1.27,0.93
Philippines,5.82,5.62,4.23,3.19,5.89,5.91,5.11,3.16,7.18,2.74,4.37,3.92,1.99,2.06,3.05,-0.72,1.28,2.32,3.74,0.7,1.65,2.28,5.49,4.6,2.91
Brazil,5.61,8.23,9.8,14.09,7.75,7.43,6.77,6.44,8.78,7.31,8.42,8.32,7.94,7.5,7.85,7.57,8.1,3.67,4.49,4.22,6.47,13.05,8.57,5.16,3.8
Mexico,10.7,6.47,5.5,4.28,8.12,5.88,6.11,6.13,6.31,5.24,4.37,5.67,4.54,1.7,4.37,3.23,6.08,6.57,5.2,4.32,4.62,4.49,6.63,4.48,4.94
Chile,4.56,4.28,3.34,4.3,7.02,7.12,12.35,5.09,0.31,3.58,8.86,3.26,0.76,2.26,5.85,4.95,4.56,4.83,1.59,2.57,9.67,6.87,7.56,6.59,7.71
Colombia,33.68,6.52,5.97,6.83,7.28,4.75,5.81,5.2,7.68,4.06,3.8,6.39,3.62,1.91,2.24,2.45,5.15,5.13,4.63,4.0,1.48,7.8,14.93,6.95,5.78
