Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+
Canada,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
United Kingdom,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AA,AA,AA,AA,AA
Germany,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
France,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA,AA,AA,AA,AA
Italy,AA,AA,AA,AA,AA,AA,AA-,AA-,AA-,AA-,AA-,AA-,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB,BBB,BBB,BBB,BBB
Spain,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA,AA,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,A,A,A,A,A
Netherlands,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
Sweden,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
Switzerland,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
