Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,13.36,4.17,-138.3,-197.77,-179.85,-139.5,-93.64,-103.9,-210.01,-370.74,-317.33,-236.99,-142.75,-73.65,-31.61,-2.4,-3.1,-3.4,-3.8,-4.6,-14.9,-12.4,-5.5,-6.3,
Canada,92.81,68.67,62.56,52.1,63.62,43.32,63.15,64.3,19.84,-42.94,-56.87,-27.65,-6.21,-0.22,2.2,-0.1,-1.0,-0.9,-0.4,-0.3,-11.2,-4.7,-0.9,-1.1,
United Kingdom,118.88,32.25,-94.15,-170.66,-149.84,-136.54,-118.11,-108.71,-176.73,-368.2,-262.4,-177.96,-125.14,-32.88,-19.84,-4.3,-3.0,-2.3,-2.2,-2.3,-12.5,-7.6,-5.5,-4.4,
Germany,61.04,-75.93,-100.72,-108.4,-112.51,-104.24,-56.72,-15.64,-15.52,-78.03,-84.16,-11.65,1.21,-0.53,1.64,0.8,1.0,1.3,1.9,1.5,-4.3,-3.7,-2.6,-2.5,
France,-86.44,-89.91,-168.44,-206.16,-167.62,-132.44,-100.45,-98.37,-107.81,-252.41,-183.01,-120.89,-90.5,-20.93,-15.11,-3.6,-3.6,-3.0,-2.3,-3.1,-9.0,-6.5,-4.7,-5.5,
Italy,-44.82,-139.41,-110.93,-148.76,-120.78,-163.06,-110.31,-63.07,-93.46,-175.89,-103.85,-82.12,-61.28,-17.58,-13.97,-2.6,-2.5,-2.4,-2.2,-1.5,-9.6,-8.8,-8.0,-7.2,
Spain,-28.99,-0.51,6.58,17.23,-14.05,56.1,79.43,83.48,-83.39,-276.39,-152.72,-83.98,-172.22,-28.63,-15.44,-5.2,-4.3,-3.0,-2.5,-2.9,-10.1,-6.9,-3.8,-3.6,
Netherlands,84.53,-16.33,-84.51,-142.78,-80.07,-12.74,14.4,6.69,24.26,-170.47,-108.87,-86.25,-67.59,-9.68,-7.95,-2.0,0.0,1.3,1.4,1.7,-3.7,-2.5,-0.1,-0.4,
Sweden,114.75,87.05,-33.75,-35.09,6.01,40.29,51.81,81.84,50.18,-30.11,-5.6,7.27,-10.26,-7.56,-3.74,-0.1,0.9,1.3,0.8,0.6,-2.7,-0.2,0.9,-0.6,
Switzerland,73.29,10.49,9.2,-35.06,-42.36,-21.25,16.49,26.54,39.67,2.53,0.86,10.39,2.26,1.76,0.2,0.3,0.3,1.0,1.3,1.3,-2.6,-0.2,0.9,0.6,
