Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,9.23,6.92,4.67,4.12,4.34,6.19,7.96,8.05,5.09,3.25,3.25,3.25,3.25,3.25,3.25,3.26,3.51,4.1,4.9,5.28,3.54,3.25,,5.5,5.5
Canada,7.27,5.81,4.21,4.69,4.0,4.42,5.81,6.1,4.73,2.4,2.6,3.0,3.0,3.0,3.0,2.77,2.7,2.7,,1.75,0.25,0.25,4.25,5.0,3.25
United Kingdom,5.96,5.12,4.0,3.7,4.38,4.65,4.64,5.51,4.68,0.64,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.75,0.75,0.1,0.1,3.5,5.25,4.75
Germany,4.75,4.25,3.25,2.0,2.0,2.25,3.5,4.0,4.25,1.0,1.0,1.5,0.75,0.5,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,3.65
France,4.75,4.25,3.25,2.0,2.0,2.25,3.5,4.0,4.25,1.0,1.0,1.5,0.75,0.5,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,3.65
Italy,7.02,7.29,6.54,5.83,5.51,5.31,5.62,6.33,6.84,4.76,4.03,4.6,5.22,5.14,4.87,4.13,3.5,3.0,2.68,2.6,2.33,2.03,2.26,4.89,5.25
Spain,4.75,4.25,3.25,2.0,2.0,2.25,3.5,4.0,4.25,1.0,1.0,1.5,0.75,0.5,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,3.65
Netherlands,4.79,5.0,3.96,3.0,2.75,2.77,3.54,4.6,4.6,1.98,1.75,2.0,1.62,1.5,,0.05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,3.65
Sweden,5.77,5.73,5.79,5.02,4.18,3.53,3.68,,4.75,0.25,1.25,2.0,1.0,0.75,0.0,-0.35,-0.5,-0.5,-0.25,0.0,0.0,0.0,2.5,4.0,2.75
Switzerland,,,,,,,,3.34,2.75,2.73,2.72,2.69,2.69,2.69,2.68,2.65,2.63,2.63,2.63,2.63,2.64,2.65,2.86,2.98
Australia,7.72,6.84,6.36,6.61,7.05,7.26,7.61,8.2,8.91,6.02,7.28,7.74,6.97,6.18,5.95,5.58,5.42,5.25,5.26,5.1,,,,,
Japan,2.07,1.97,1.86,1.82,1.77,1.68,1.66,1.88,1.91,1.72,1.6,1.5,1.41,1.3,1.22,1.14,1.04,0.99,,0.1,0.1,0.1,0.1,0.1,0.25
"Korea, Rep.",8.54,7.71,6.77,6.24,5.9,5.59,5.99,6.55,7.17,5.65,5.51,5.76,5.4,4.64,4.26,3.53,3.37,3.48,3.66,3.45,2.8,2.88,4.29,5.19,4.73
Singapore,5.83,5.65,5.35,5.31,5.3,5.3,5.31,5.33,5.38,5.38,5.38,5.38,5.38,5.38,5.35,5.35,5.35,5.28,5.33,5.25,5.25,5.25,2.5,3.5,
Norway,,,,,,,,,,,,,,4.35,4.21,3.5,3.07,3.01,2.93,3.24,2.7,2.27,3.24,5.31,6.15
China,5.85,5.85,5.31,5.31,5.58,5.58,6.12,7.47,5.31,5.31,5.81,6.56,6.0,6.0,5.6,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35
India,12.29,12.08,11.92,11.46,10.92,10.75,11.19,13.02,13.31,12.19,8.33,10.17,10.6,10.29,10.25,10.01,9.67,9.51,9.45,9.47,9.15,8.7,8.57,6.5,
Indonesia,18.45,18.55,18.95,16.93,14.12,14.05,15.98,13.86,13.6,14.5,13.25,12.4,11.79,11.66,12.61,12.66,11.89,11.07,10.54,10.37,9.54,8.92,8.52,8.93,8.8
Malaysia,7.67,7.13,6.53,6.3,6.05,5.95,6.49,6.41,6.08,5.08,5.0,4.92,4.79,4.65,4.59,4.57,4.53,4.61,4.93,4.88,3.94,3.44,3.91,5.32,5.28
Thailand,7.83,7.27,,,4.55,4.72,6.27,6.05,5.82,4.78,4.33,5.07,5.19,5.06,4.95,4.73,4.47,4.42,4.15,4.08,3.29,3.06,3.14,4.29,4.17
Philippines,10.91,12.4,9.14,9.47,10.08,10.18,9.78,8.69,8.75,8.57,7.67,6.66,5.68,5.77,5.53,5.58,5.64,5.63,6.12,7.1,,,,,
Brazil,56.83,57.62,62.88,67.08,54.92,55.38,50.81,43.72,47.25,44.65,39.99,43.88,36.64,27.39,32.01,43.96,52.1,46.92,39.08,37.48,29.04,30.02,39.4,43.6,40.23
Mexico,16.93,12.79,8.21,7.02,7.44,9.7,7.51,7.56,8.71,7.07,5.28,4.91,4.68,4.27,3.55,3.44,4.75,7.33,8.04,8.43,6.34,4.89,8.18,11.59,11.22
Chile,14.84,11.89,7.76,6.18,5.13,6.68,8.0,8.67,13.26,7.25,4.75,9.03,10.06,9.26,8.1,5.51,5.59,4.55,4.18,,0.5,4.0,11.25,7.25,5.25
Colombia,18.79,20.72,16.33,15.19,15.08,14.56,12.89,15.38,17.18,13.01,9.38,11.22,12.59,10.99,10.87,11.45,14.65,13.69,12.11,11.77,9.85,9.34,15.81,21.03,16.37
South Africa,14.5,13.77,15.75,14.96,11.29,10.62,11.17,13.17,15.12,11.71,9.83,9.0,8.75,8.5,9.12,9.42,10.46,10.38,10.08,10.12,7.71,7.04,8.79,11.5,11.62
Turkiye,38.0,55.0,44.0,26.0,18.0,13.5,17.5,17.25,16.75,6.5,6.5,5.75,5.5,4.5,8.25,7.5,8.0,8.0,24.0,12.0,17.0,14.0,9.0,42.5,50.0
Poland,19.0,15.5,8.75,5.25,6.5,4.5,4.0,5.0,6.0,3.5,3.5,4.5,4.25,2.5,2.0,1.5,1.5,1.5,1.5,1.5,0.1,0.1,6.75,6.75,5.75
Hungary,12.6,12.12,10.17,9.6,12.82,8.54,8.08,9.09,10.18,11.04,7.59,8.32,9.0,6.3,4.45,2.9,2.09,1.48,1.47,1.79,1.96,2.96,10.66,15.3,9.13
Romania,53.85,45.4,35.42,25.43,25.61,19.6,13.98,13.35,14.99,17.27,14.07,12.13,11.33,10.52,8.47,6.77,5.71,5.56,6.81,7.16,6.49,5.61,7.76,9.32,8.76
Argentina,,,,,,,,,,,10.56,14.09,14.06,17.15,24.01,24.92,31.23,26.58,48.52,67.25,29.39,35.56,52.4,95.89,61.71
Pakistan,,,,,7.26,9.07,10.99,11.77,12.94,14.54,14.04,14.42,13.52,11.99,11.73,10.16,8.76,8.21,8.53,12.23,10.76,8.67,15.0,22.0,12.0
"Egypt, Arab Rep.",13.22,13.29,13.79,13.53,13.38,13.14,12.6,12.51,12.32,11.97,11.01,11.03,12.0,12.29,11.71,11.62,13.6,18.18,18.32,16.12,11.37,9.43,10.58,17.76,24.29
Ghana,27.0,27.0,24.5,21.5,18.5,15.5,12.5,13.5,17.0,18.0,13.5,12.5,15.0,16.0,21.0,25.5,25.5,20.0,17.0,16.0,14.5,14.5,27.0,30.0,29.0
Nigeria,21.27,23.44,24.77,20.71,19.18,17.95,16.89,16.94,15.14,18.99,17.59,16.02,16.79,16.72,16.55,16.85,16.87,17.55,16.9,15.38,13.64,11.48,12.33,14.01,27.25
Tunisia,6.5,6.5,6.5,6.5,5.0,5.0,5.25,5.25,5.25,4.5,4.5,4.5,4.5,4.5,4.5,4.25,4.25,5.75,7.75,7.84,6.75,6.25,8.0,8.0,8.0
