Country,Year,Credit_Rating_Label,Cluster,Silhouette_Score,Distance_to_Center,Interest_Rate,Inflation,Unemployment,GDP_Growth,Public_Debt,Budget_Balance,Current_Account,FX_Reserves
United States,2000,AAA,0,0.39470275220335926,1.3080901846216637,9.23,2.27,3.99,4.08,33.27,13.36,-3.92,128.4
Canada,2000,AA+,0,0.24789320103921886,1.5544565431366346,7.27,4.37,6.83,5.14,58.74,92.81,2.48,32.43
United Kingdom,2000,AAA,0,0.2775879637052018,1.7910073040930863,5.96,1.12,5.56,4.34,87.6,118.88,-1.81,50.94
Germany,2000,AAA,0,0.3556096780245832,1.1465950333355122,4.75,-0.34,7.92,2.88,59.7,61.04,-1.51,87.5
France,2000,AAA,0,0.3888220093106563,0.9236230177097545,4.75,1.42,10.22,4.14,58.9,-86.44,1.18,63.73
Italy,2000,AA,0,0.37615594351050136,1.3289492868050519,7.02,1.76,10.83,3.88,105.1,-44.82,-0.27,47.2
Spain,2000,AA+,0,0.4385768996116939,1.4014233265213896,4.75,3.41,13.78,5.2,56.44,-28.99,-4.26,35.61
Netherlands,2000,AAA,1,-0.19279078039870606,1.7104787051976877,4.79,3.27,2.72,4.22,50.7,84.53,1.74,17.69
Sweden,2000,AA+,1,-0.12974615461188865,1.5946347963723766,5.77,1.57,5.47,4.63,53.9,114.75,4.45,16.5
Switzerland,2000,AAA,1,0.10537331432477139,1.6396491309806371,3.34,1.37,2.66,3.96,25.78,73.29,10.49,53.62
Australia,2000,AA+,0,0.35731537784176165,1.600941180131499,7.72,2.55,6.29,3.92,29.52,94.36,-3.72,18.82
Japan,2000,AA+,1,-0.12271554174202873,1.96210689619842,2.07,-1.34,4.75,2.76,134.1,-7.5,2.63,361.64
"Korea, Rep.",2000,BBB+,0,0.2427526167296984,2.206704735986015,8.54,1.02,4.06,9.06,18.1,1.3,1.77,96.25
Singapore,2000,AAA,1,0.0853251137541933,5.054678279919449,5.83,3.86,3.7,9.04,83.84,540.33,11.07,81.08
Norway,2000,AAA,1,0.09385827165042541,6.824960546439501,4.35,15.33,3.46,3.32,29.2,747.63,14.63,27.92
China,2000,BBB,0,0.22477900367578058,2.2044895888275184,5.85,2.1,3.26,8.59,16.3,-2.8,1.68,171.76
India,2000,BB+,0,0.40933672822394845,1.3454924228799536,12.29,3.64,7.62,3.84,55.0,-182.7,-0.98,41.06
Indonesia,2000,B-,0,0.22804661008813007,2.189235099450705,18.45,20.45,6.08,4.92,89.1,-1.6,4.84,29.35
Malaysia,2000,BBB+,0,0.1192246979252349,2.9810088476915357,7.67,8.86,3.0,8.86,32.4,-183.72,9.05,28.65
Thailand,2000,BBB-,1,-0.046786236137748204,1.770924088552784,7.83,1.33,2.39,4.46,21.96,-10.85,7.37,32.67
Philippines,2000,BB+,0,0.39369881069049806,1.5678354519458475,10.91,5.82,3.77,4.38,58.6,-179.61,-2.66,15.07
Brazil,2000,B+,2,0.20697799090202443,3.135353664605247,56.83,5.61,10.89,4.39,63.5,-62.01,-4.05,33.02
Mexico,2000,BB+,0,0.35746432096569297,1.870682076438477,16.93,10.7,2.65,5.03,18.19,-52.47,-2.53,35.58
Chile,2000,A-,0,0.397969749057316,1.525821672248642,14.84,4.56,10.49,4.97,13.15,-23.0,-1.15,15.06
Colombia,2000,BB,2,-0.08713970502099408,3.3019638456504192,18.79,33.68,20.52,2.92,17.71,-18.73,0.85,9.01
South Africa,2000,BBB+,0,0.28437668997064336,3.1696434870371095,14.5,9.18,22.71,4.2,39.64,-93.31,-0.13,7.7
Turkiye,2000,B+,2,0.2283954627602304,2.356463604412523,38.0,49.36,6.5,6.93,39.4,-10.5,-3.62,23.51
Poland,2000,BBB+,0,0.35220274219601727,2.032906005144666,19.0,6.06,14.93,4.66,36.8,-24.31,-5.98,27.47
Hungary,2000,BBB+,0,0.4338099994381103,1.6715921740351192,12.6,9.6,6.56,4.41,61.14,-145.98,-8.83,11.22
Romania,2000,B+,2,0.305295569153194,2.4783415763736736,53.85,43.18,6.97,2.46,22.5,-4.7,-3.64,3.4
Argentina,2000,BB,0,0.3635740061400267,2.0215039748634696,10.56,1.04,15.0,-0.79,38.9,-2.4,-3.16,25.15
Pakistan,2000,B-,2,0.005509785195347482,4.747050055259952,7.26,68.01,0.63,4.26,55.03,-196.36,-0.09,2.09
"Egypt, Arab Rep.",2000,BB-,0,0.4095978848682434,1.1634455288829053,13.22,3.94,8.98,6.37,79.5,-3.5,-0.97,13.79
Ghana,2000,B,2,0.024669768969096416,1.6514454034719297,27.0,27.23,10.46,3.7,94.2,-8.5,-7.75,0.31
Nigeria,2000,B-,1,-0.07687888611476798,2.7360580737283544,21.27,22.67,3.96,5.02,63.4,-3.5,10.74,10.1
Tunisia,2000,BBB,0,0.4236771333417573,1.5704827505092038,6.5,3.28,14.94,4.71,56.72,-3.1,-3.83,1.87
Ukraine,2000,B-,2,0.18198090696323757,1.9917812437675333,41.53,27.5,11.71,5.9,43.73,-28.57,4.15,1.48
Sri Lanka,2000,BB-,0,0.27009189375721254,3.5963381701077415,14.25,7.28,7.74,6.0,96.9,-403.12,-6.39,1.13
United States,2001,AAA,0,0.38044808924847373,1.1851331707969297,6.92,2.25,4.73,0.96,52.44,4.17,-3.72,130.08
Canada,2001,AA+,0,0.24634402185360355,1.385871300381637,5.81,1.57,7.22,1.88,57.46,68.67,2.13,34.25
United Kingdom,2001,AAA,0,0.33412550658498175,1.2701695020907389,5.12,1.51,4.7,2.57,84.36,32.25,-1.77,47.42
Germany,2001,AAA,0,0.38396080930287585,0.8231124997738536,4.25,1.43,7.77,1.64,58.8,-75.93,-0.17,82.13
France,2001,AAA,0,0.3548854042635738,0.9634040175169926,4.25,1.9,8.61,1.9,58.0,-89.91,1.53,58.64
Italy,2001,AA,0,0.3584349890462988,1.5564705265939145,7.29,3.06,9.6,2.01,105.4,-139.41,0.15,46.22
Spain,2001,AA+,0,0.4575595719830807,0.9028759704272846,4.25,4.16,10.35,3.92,52.0,-0.51,-4.33,34.24
Netherlands,2001,AAA,0,0.20865498103715033,1.5426906477838211,5.0,4.37,2.12,2.32,47.5,-16.33,2.27,16.9
Sweden,2001,AA+,1,-0.03561389382537988,1.3188019998875415,5.73,2.59,4.73,1.36,54.7,87.05,6.17,15.63
Switzerland,2001,AAA,1,0.0051487012474339755,1.5898121741099072,3.34,0.97,2.49,1.58,24.7,10.49,6.67,51.55
Australia,2001,AA+,0,0.3746095894768211,1.2370529876075138,6.84,4.63,6.75,2.03,27.69,38.12,-2.1,18.66
Japan,2001,AA,1,-0.10665671822920625,2.26481305890485,1.97,-1.08,5.02,0.39,142.3,-6.3,1.97,401.96
"Korea, Rep.",2001,BBB+,0,0.3012325282327555,1.5280810715078843,7.71,3.48,3.7,4.85,19.9,1.2,0.4,102.88
Singapore,2001,AAA,1,0.1592409647312382,2.884975370908466,5.65,-1.81,3.76,-1.07,93.94,270.46,14.43,76.6
Norway,2001,AAA,1,0.11205298784295177,6.1249540435032666,4.35,1.71,3.74,2.07,27.0,670.36,15.81,23.6
China,2001,BBB,0,0.2411816525225386,2.0812626077286223,5.85,2.21,3.8,8.31,17.7,-2.6,1.28,220.06
India,2001,BB+,0,0.3755859662288094,1.6279466506011362,12.08,3.22,7.65,4.82,59.02,-208.2,0.29,49.05
Indonesia,2001,B-,0,0.2577689425010446,1.7709620856030295,18.55,14.3,6.08,3.64,77.0,-2.4,4.3,28.1
Malaysia,2001,BBB+,1,-0.08826852096514254,2.3343506225749326,7.13,-1.58,3.53,0.52,35.8,-160.65,7.85,29.85
Thailand,2001,BBB-,1,-0.15372060636683835,1.7652305342593235,7.27,1.92,2.6,3.44,24.58,-12.64,4.24,33.04
Philippines,2001,BB+,0,0.3971683070461936,1.080101890645968,12.4,5.62,3.7,3.05,59.26,-4.0,-2.22,15.68
Brazil,2001,B+,2,0.23684400526908364,2.9474104718953495,57.62,8.23,10.65,1.39,66.2,-70.46,-4.44,35.87
Mexico,2001,BB+,0,0.29303518522314503,1.9231128521406884,12.79,6.47,2.63,-0.45,22.7,-0.7,-2.23,44.8
Chile,2001,A-,0,0.40735826857873864,1.321583125484434,11.89,4.28,10.39,3.15,14.9,-21.57,-1.54,14.4
Colombia,2001,BB,0,0.3023405993146067,2.2247555193931925,20.72,6.52,15.04,1.68,46.8,-155.19,-1.06,10.24
South Africa,2001,BBB+,0,0.295869969165421,3.0903203944791615,13.77,7.8,22.6,2.7,42.9,-43.41,0.25,7.63
Turkiye,2001,B+,2,0.2966481847539063,3.3695581341690177,55.0,52.98,8.38,-5.75,76.1,-16.1,1.86,19.91
Poland,2001,BBB+,0,0.33799619231959355,2.581815289897566,15.5,3.2,18.43,1.23,37.6,-146.86,-3.1,26.56
Hungary,2001,BBB+,0,0.4143496900321242,1.895989151085099,12.12,11.03,5.67,4.06,59.31,-215.5,-6.11,10.76
Romania,2001,B+,2,0.25623815948161854,2.080549318849487,45.4,37.96,6.56,5.22,25.7,-3.5,-5.52,4.86
Argentina,2001,B-,0,0.26841276386502483,2.972013419021864,10.56,-1.1,17.32,-4.41,53.7,-3.4,-1.41,14.56
Pakistan,2001,B-,0,0.2394103428686551,2.1567600611005937,7.26,6.01,0.63,3.65,84.7,-180.17,1.93,4.22
"Egypt, Arab Rep.",2001,BB-,0,0.4104421240102901,0.8866821094270071,13.29,1.87,9.26,3.54,77.2,-5.8,-0.4,13.6
Ghana,2001,B,2,0.03468152256072258,2.933787407539707,27.0,34.82,9.6,4.0,103.5,-299.3,-8.04,0.38
Nigeria,2001,B-,0,0.2521571434953161,2.132669367056664,23.44,10.08,3.91,5.92,66.5,-3.8,3.37,10.65
Tunisia,2001,BBB,0,0.4317825891497756,1.4298108567464933,6.5,3.91,14.4,3.8,56.47,-2.6,-3.81,2.05
Ukraine,2001,B-,2,-0.12831866629537833,3.003535228971269,32.28,10.2,11.06,8.8,36.5,-38.08,3.37,3.09
Sri Lanka,2001,BB-,0,0.18884663450530903,4.158837572144661,14.25,13.66,7.9,-1.55,103.22,-448.38,-1.37,1.36
United States,2002,AAA,0,0.4070519445006578,1.2744383547107958,4.67,1.55,5.78,1.7,53.86,-138.3,-4.17,157.76
Canada,2002,AA+,0,0.2772747095810795,1.2817477234151047,4.21,1.26,7.66,3.0,54.15,62.56,1.65,37.19
United Kingdom,2002,AAA,0,0.3708412382773512,1.21735991138637,4.0,2.12,5.04,1.8,86.4,-94.15,-1.97,54.96
Germany,2002,AAA,0,0.2940622170290052,1.4334761147974273,3.25,1.5,8.48,-0.23,60.0,-100.72,1.98,89.14
France,2002,AAA,0,0.33513431486851514,1.5097007546659265,3.25,2.06,8.7,1.07,60.3,-168.44,1.18,61.7
Italy,2002,AA,0,0.3515100454532556,1.5500492134168569,6.54,3.31,9.21,0.27,102.4,-110.93,-0.49,55.62
Spain,2002,AA+,0,0.4344771916112473,1.0429032978790092,3.25,4.09,11.15,2.76,50.15,6.58,-3.63,40.3
Netherlands,2002,AAA,0,0.20648544290973578,1.7352308708878963,3.96,3.88,2.55,0.25,47.4,-84.51,2.32,18.95
Sweden,2002,AA+,0,0.17810086366043554,1.3997202785035876,5.79,1.62,4.96,2.28,52.5,-33.75,4.66,19.17
Switzerland,2002,AAA,1,0.01979470216226291,1.6370408788417827,3.34,-0.25,2.92,-0.07,29.74,9.2,6.87,61.28
Australia,2002,AA+,0,0.43482519705494577,1.0926091664075586,6.36,2.84,6.38,3.98,25.88,-22.53,-4.04,21.57
Japan,2002,AA,1,-0.07783460422122983,2.396517878168502,1.86,-1.39,5.39,0.04,149.3,-8.0,2.6,469.62
"Korea, Rep.",2002,BBB+,0,0.2628521945465318,1.9864719203885186,6.77,3.03,3.05,7.73,19.2,2.8,0.65,121.5
Singapore,2002,AAA,1,0.14660513906345785,2.529009406025956,5.35,-0.9,5.65,3.92,106.33,224.25,14.88,83.41
Norway,2002,AAA,1,0.12079126226394973,3.981051012797626,4.35,-1.52,4.02,1.38,30.9,431.48,12.39,32.4
China,2002,BBB,0,0.21958523316867756,2.2875197978091846,5.31,0.64,4.24,9.24,18.5,-64.34,2.38,297.74
India,2002,BB+,0,0.3488844372340571,1.7490665194544839,11.92,3.72,7.75,3.8,62.55,-222.8,1.37,71.61
Indonesia,2002,B-,0,0.28530824897839235,1.6728672689027433,18.95,5.9,6.6,4.5,32.22,-31.57,4.0,32.03
Malaysia,2002,BBB+,0,0.16191661130766904,2.703837709316293,6.53,3.13,3.48,5.39,43.05,-252.77,7.13,33.76
Thailand,2002,BBB-,0,0.19379917124220003,1.9302949325930203,6.363333333333333,1.69,1.82,6.15,30.07,-40.71,3.47,38.9
Philippines,2002,BB+,0,0.35819646073248335,1.0454765742923966,9.14,4.23,3.62,3.72,64.72,-5.3,-0.33,16.32
Brazil,2002,B+,2,0.25220046520426836,3.2696897625714,62.88,9.8,10.64,3.05,74.6,-39.57,-1.85,37.83
Mexico,2002,BBB-,0,0.28358216354888927,1.7802636456956031,8.21,5.5,3.0,-0.24,23.2,-1.2,-1.53,50.67
Chile,2002,A-,0,0.39990797287995417,1.2524586047658914,7.76,3.34,10.17,3.2,15.3,-60.27,-0.83,15.34
Colombia,2002,BB,0,0.3571825183447496,2.195740020247631,16.33,5.97,14.48,2.5,50.8,-212.49,-1.32,10.84
South Africa,2002,BBB+,0,0.2557227229712996,3.196492039515387,15.75,12.54,22.55,3.7,39.6,-75.72,0.78,7.82
Turkiye,2002,B+,2,0.2650687570624468,1.7777175926024844,44.0,37.57,10.36,6.45,69.9,-10.3,-0.26,28.35
Poland,2002,BBB+,0,0.33576179881149365,3.0288818357896163,8.75,1.82,20.21,1.9,42.2,-218.51,-2.78,29.78
Hungary,2002,BBB+,0,0.30508693676224724,3.403866866754416,10.17,8.05,5.61,4.73,58.99,-401.21,-6.45,10.38
Romania,2002,B+,2,0.0757769024276537,1.8473354210349053,35.42,22.71,8.11,5.7,24.9,-2.0,-3.31,7.29
Argentina,2002,B-,2,-0.049443362884077656,5.91925156421629,10.56,30.56,19.59,-10.89,166.4,-234.95,8.97,10.49
Pakistan,2002,B-,0,0.17847627406481034,2.0827474305018447,7.26,3.92,0.64,2.59,80.1,-137.31,3.94,8.8
"Egypt, Arab Rep.",2002,BB-,0,0.3815686359022021,1.0604260780633468,13.79,3.17,10.01,2.39,78.6,-6.1,0.73,14.08
Ghana,2002,B,2,-0.104658138300735,2.489465217172368,24.5,22.82,8.7,4.5,106.8,-230.97,-1.71,0.64
Nigeria,2002,B-,0,0.14551541303800045,4.025900573682826,24.77,21.11,3.68,15.33,61.9,-3.5,1.14,7.57
Tunisia,2002,BBB,0,0.40538158771887384,1.5684187526124325,6.5,2.28,14.55,1.32,55.93,-2.7,-3.22,2.36
Ukraine,2002,B-,0,0.20167597822012268,2.5420233339754748,25.35,5.25,10.14,5.34,33.5,15.43,7.23,4.46
Sri Lanka,2002,BB-,0,0.2958253241173891,3.1012798011627547,13.17,8.11,8.76,3.96,105.52,-356.36,-1.43,1.71
United States,2003,AAA,0,0.3922896038609898,1.63382616045454,4.12,1.97,5.99,2.8,56.25,-197.77,-4.56,184.02
Canada,2003,AA+,0,0.2946355552110965,1.2142233790824684,4.69,3.25,7.57,1.81,51.27,52.1,1.16,36.27
United Kingdom,2003,AAA,0,0.35861360617872384,1.5688440302975777,3.7,2.39,4.81,3.15,86.69,-170.66,-1.83,56.35
Germany,2003,AAA,0,0.3020602140807643,1.5746078611834353,2.0,1.32,9.78,-0.53,63.9,-108.4,1.53,96.84
France,2003,AAA,0,0.3169231511150769,1.8146490280142635,2.0,1.8,8.31,0.97,64.4,-206.16,0.87,70.76
Italy,2003,AA,0,0.34379636180831935,1.7198543429987858,5.83,3.17,8.87,0.07,101.3,-148.76,-0.77,63.26
Spain,2003,AA+,0,0.4212117793876712,1.2021070111417567,2.0,4.0,11.28,2.94,45.48,17.23,-3.81,26.81
Netherlands,2003,AAA,0,0.14507687585221862,2.082621801034455,3.0,2.29,3.59,0.1,48.0,-142.78,5.13,21.6
Sweden,2003,AA+,1,-0.13294598643349156,1.3895703821827194,5.02,1.85,5.56,1.88,51.7,-35.09,5.86,22.17
Switzerland,2003,AAA,1,0.08093994210944977,1.7657418532142852,3.34,1.18,4.12,-0.03,28.8,-35.06,10.79,69.56
Australia,2003,AAA,0,0.40599815695357505,1.5015750788653675,6.61,2.99,5.93,3.09,25.07,38.48,-6.27,33.26
Japan,2003,AA,1,-0.04202481107849005,2.4796666791521624,1.82,-1.61,5.25,1.54,157.5,-8.0,3.08,673.55
"Korea, Rep.",2003,BBB+,0,0.23448344958655376,1.5785012797366136,6.24,3.45,3.35,3.15,21.6,0.5,1.61,155.47
Singapore,2003,AAA,1,0.187790275037068,3.3187158513810413,5.31,-1.8,5.93,4.55,108.59,137.49,24.3,97.74
